review_id,employee_id,employee_email,employee_status,app_id,app_name,entitlement,reviewer_email,decision,reviewed_at,note
REV-0038,EMP-1028,yusuf.mistry@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0039,EMP-1012,elena.sokolova@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0040,EMP-1080,tara.kovac@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-04,
REV-0041,EMP-1051,quentin.mistry@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0042,EMP-1092,rania.eberhardt@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-13,
REV-0043,EMP-1057,oscar.ishikawa@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0044,EMP-1010,priya.raghavan@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-04,
REV-0045,EMP-1015,yuki.tanaka@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-04,
REV-0046,EMP-1087,kira.thorne@acme-analytics.example,active,APP-09,Bellwether Wiki,member,nora.vasquez@acme-analytics.example,approve,2026-06-09,
REV-0047,EMP-1056,viktor.gutierrez@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0048,EMP-1033,imani.engberg@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0049,EMP-1073,aaron.moreau@acme-analytics.example,active,APP-04,Lanternfell Expense,member,theo.marchand@acme-analytics.example,approve,2026-06-07,
REV-0050,EMP-1112,bruno.mistry@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,zoe.gutierrez@acme-analytics.example,approve,2026-06-06,
REV-0051,EMP-1046,ulric.kovac@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0052,EMP-1075,wanda.falk@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-13,
REV-0053,EMP-1072,esme.vasilenko@acme-analytics.example,active,APP-05,Saltmarsh CRM,editor,theo.marchand@acme-analytics.example,approve,2026-06-02,
REV-0054,EMP-1111,zoe.gutierrez@acme-analytics.example,active,APP-04,Lanternfell Expense,member,zoe.gutierrez@acme-analytics.example,approve,2026-06-10,
REV-0055,EMP-1054,ulric.jovergaard@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-04,
REV-0056,EMP-1033,imani.engberg@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-02,
REV-0057,EMP-1097,thea.derevko@acme-analytics.example,active,APP-04,Lanternfell Expense,member,nora.vasquez@acme-analytics.example,approve,2026-06-06,
REV-0058,EMP-1123,niko.derevko@acme-analytics.example,active,APP-02,Torchstone Desk,member,grace.adeyemi@acme-analytics.example,approve,2026-06-13,
REV-0059,EMP-1029,viktor.lindholm@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0060,EMP-1057,oscar.ishikawa@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0061,EMP-1073,aaron.moreau@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-13,
REV-0062,EMP-1036,celeste.zielinski@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-10,
REV-0063,EMP-1039,wesley.varga@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-05,
REV-0064,EMP-1101,cedric.rourke@acme-analytics.example,active,APP-09,Bellwether Wiki,member,nora.vasquez@acme-analytics.example,approve,2026-06-02,
REV-0065,EMP-1011,marcus.webb@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-03,
REV-0066,EMP-1074,greta.abara@acme-analytics.example,active,APP-02,Torchstone Desk,member,theo.marchand@acme-analytics.example,approve,2026-06-12,
REV-0067,EMP-1071,imani.sandoval@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-07,
REV-0068,EMP-1034,niko.xu@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-05,
REV-0069,EMP-1036,celeste.zielinski@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0070,EMP-1014,tom.alvarez@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0071,EMP-1080,tara.kovac@acme-analytics.example,active,APP-05,Saltmarsh CRM,editor,theo.marchand@acme-analytics.example,revoke,2026-06-05,Role change - entitlement no longer required.
REV-0072,EMP-1082,kai.zabel@acme-analytics.example,active,APP-05,Saltmarsh CRM,editor,theo.marchand@acme-analytics.example,approve,2026-06-11,
REV-0073,EMP-1119,dahlia.tremblay@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,zoe.gutierrez@acme-analytics.example,approve,2026-06-10,
REV-0074,EMP-1004,maya.kaplan@acme-analytics.example,active,APP-01,Fernwake People,admin,maya.kaplan@acme-analytics.example,approve,2026-06-09,
REV-0075,EMP-1011,marcus.webb@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-09,
REV-0076,EMP-1120,petra.xu@acme-analytics.example,active,APP-03,Quillbrook Ledger,editor,grace.adeyemi@acme-analytics.example,approve,2026-06-12,
REV-0077,EMP-1022,uma.tremblay@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-09,
REV-0078,EMP-1130,niko.ishikawa@acme-analytics.example,active,APP-02,Torchstone Desk,member,maya.kaplan@acme-analytics.example,approve,2026-06-10,
REV-0079,EMP-1085,jasper.haas@acme-analytics.example,active,APP-04,Lanternfell Expense,member,nora.vasquez@acme-analytics.example,approve,2026-06-10,
REV-0080,EMP-1086,anika.dvorak@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-13,
REV-0081,EMP-1062,uma.ibsen@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0082,EMP-1134,yara.ishikawa@acme-analytics.example,active,APP-02,Torchstone Desk,admin,diego.fuentes@acme-analytics.example,approve,2026-06-10,
REV-0083,EMP-1061,mateo.ashby@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-09,
REV-0084,EMP-1107,talia.reyes@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-04,
REV-0085,EMP-1098,felipe.grimaldi@acme-analytics.example,active,APP-05,Saltmarsh CRM,member,nora.vasquez@acme-analytics.example,approve,2026-06-03,
REV-0086,EMP-1003,johan.brandt@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0087,EMP-1089,selim.varga@acme-analytics.example,active,APP-04,Lanternfell Expense,member,nora.vasquez@acme-analytics.example,approve,2026-06-10,
REV-0088,EMP-1009,theo.marchand@acme-analytics.example,active,APP-05,Saltmarsh CRM,editor,theo.marchand@acme-analytics.example,approve,2026-06-13,
REV-0089,EMP-1062,uma.ibsen@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0090,EMP-1021,fatima.alrashid@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0091,EMP-1056,viktor.gutierrez@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0092,EMP-1048,lorenzo.rourke@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-03,
REV-0093,EMP-1097,thea.derevko@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-09,
REV-0094,EMP-1007,ravi.chandran@acme-analytics.example,active,APP-09,Bellwether Wiki,member,ravi.chandran@acme-analytics.example,approve,2026-06-04,
REV-0095,EMP-1139,bianca.tremblay@acme-analytics.example,active,APP-14,Marrowgate Vault,admin,ravi.chandran@acme-analytics.example,approve,2026-06-08,
REV-0096,EMP-1093,cedric.halloran@acme-analytics.example,active,APP-04,Lanternfell Expense,member,nora.vasquez@acme-analytics.example,revoke,2026-06-03,Role change - entitlement no longer required.
REV-0097,EMP-1082,kai.zabel@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-08,
REV-0098,EMP-1067,rosa.ortega@acme-analytics.example,active,APP-09,Bellwether Wiki,member,theo.marchand@acme-analytics.example,approve,2026-06-09,
REV-0099,EMP-1078,idris.jovergaard@acme-analytics.example,active,APP-02,Torchstone Desk,member,theo.marchand@acme-analytics.example,approve,2026-06-11,
REV-0100,EMP-1055,mateo.pereira@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0101,EMP-1131,bruno.yoon@acme-analytics.example,active,APP-04,Lanternfell Expense,member,maya.kaplan@acme-analytics.example,approve,2026-06-06,
REV-0102,EMP-1021,fatima.alrashid@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0103,EMP-1025,dahlia.castellano@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-04,
REV-0104,EMP-1087,kira.thorne@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-10,
REV-0105,EMP-1020,noah.lindqvist@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0106,EMP-1103,sven.yamada@acme-analytics.example,active,APP-04,Lanternfell Expense,member,ingrid.bauer@acme-analytics.example,approve,2026-06-11,
REV-0107,EMP-1084,pablo.ortega@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-11,
REV-0108,EMP-1109,thea.yamada@acme-analytics.example,active,APP-04,Lanternfell Expense,member,ingrid.bauer@acme-analytics.example,approve,2026-06-03,
REV-0109,EMP-1094,selim.halloran@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-03,
REV-0110,EMP-1089,selim.varga@acme-analytics.example,active,APP-05,Saltmarsh CRM,member,nora.vasquez@acme-analytics.example,approve,2026-06-06,
REV-0111,EMP-1025,dahlia.castellano@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-10,
REV-0112,EMP-1010,priya.raghavan@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-03,
REV-0113,EMP-1001,renata.voss@acme-analytics.example,active,APP-02,Torchstone Desk,member,renata.voss@acme-analytics.example,approve,2026-06-07,
REV-0114,EMP-1018,carlos.mendes@acme-analytics.example,active,APP-04,Lanternfell Expense,member,nora.vasquez@acme-analytics.example,approve,2026-06-13,
REV-0115,EMP-1009,theo.marchand@acme-analytics.example,active,APP-04,Lanternfell Expense,member,theo.marchand@acme-analytics.example,approve,2026-06-13,
REV-0116,EMP-1029,viktor.lindholm@acme-analytics.example,active,APP-11,Stoneferry CI,editor,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0117,EMP-1004,maya.kaplan@acme-analytics.example,active,APP-04,Lanternfell Expense,member,maya.kaplan@acme-analytics.example,approve,2026-06-07,
REV-0118,EMP-1029,viktor.lindholm@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-05,
REV-0119,EMP-1005,diego.fuentes@acme-analytics.example,active,APP-02,Torchstone Desk,member,diego.fuentes@acme-analytics.example,approve,2026-06-10,
REV-0120,EMP-1096,zoe.ishikawa@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-05,
REV-0121,EMP-1054,ulric.jovergaard@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-03,
REV-0122,EMP-1063,farah.grimaldi@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0123,EMP-1056,viktor.gutierrez@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-05,
REV-0124,EMP-1102,viktor.varga@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,ingrid.bauer@acme-analytics.example,approve,2026-06-12,
REV-0125,EMP-1002,grace.adeyemi@acme-analytics.example,active,APP-03,Quillbrook Ledger,editor,grace.adeyemi@acme-analytics.example,approve,2026-06-10,
REV-0126,EMP-1138,wanda.kovac@acme-analytics.example,active,APP-04,Lanternfell Expense,member,ravi.chandran@acme-analytics.example,approve,2026-06-11,
REV-0127,EMP-1083,greta.zielinski@acme-analytics.example,active,APP-09,Bellwether Wiki,member,theo.marchand@acme-analytics.example,approve,2026-06-06,
REV-0128,EMP-1137,juno.halloran@acme-analytics.example,active,APP-04,Lanternfell Expense,member,sylvia.ngata@acme-analytics.example,revoke,2026-06-09,Role change - entitlement no longer required.
REV-0129,EMP-1039,wesley.varga@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0130,EMP-1055,mateo.pereira@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0131,EMP-1038,liora.larsen@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-02,
REV-0132,EMP-1123,niko.derevko@acme-analytics.example,active,APP-04,Lanternfell Expense,admin,grace.adeyemi@acme-analytics.example,approve,2026-06-13,
REV-0133,EMP-1015,yuki.tanaka@acme-analytics.example,active,APP-09,Bellwether Wiki,member,nora.vasquez@acme-analytics.example,approve,2026-06-08,
REV-0134,EMP-1131,bruno.yoon@acme-analytics.example,active,APP-01,Fernwake People,admin,maya.kaplan@acme-analytics.example,approve,2026-06-06,
REV-0135,EMP-1064,ximena.zabel@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-07,
REV-0136,EMP-1033,imani.engberg@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0137,EMP-1031,lena.fischer@acme-analytics.example,active,APP-02,Torchstone Desk,member,diego.fuentes@acme-analytics.example,approve,2026-06-08,
REV-0138,EMP-1117,liora.nunez@acme-analytics.example,active,APP-02,Torchstone Desk,member,zoe.gutierrez@acme-analytics.example,approve,2026-06-07,
REV-0139,EMP-1054,ulric.jovergaard@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0140,EMP-1102,viktor.varga@acme-analytics.example,active,APP-04,Lanternfell Expense,member,ingrid.bauer@acme-analytics.example,approve,2026-06-11,
REV-0141,EMP-1036,celeste.zielinski@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0142,EMP-1052,rania.ueno@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-11,
REV-0143,EMP-1073,aaron.moreau@acme-analytics.example,active,APP-09,Bellwether Wiki,member,theo.marchand@acme-analytics.example,approve,2026-06-02,
REV-0144,EMP-1014,tom.alvarez@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0145,EMP-1085,jasper.haas@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-03,
REV-0146,EMP-1008,nora.vasquez@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-04,
REV-0147,EMP-1112,bruno.mistry@acme-analytics.example,active,APP-04,Lanternfell Expense,member,zoe.gutierrez@acme-analytics.example,approve,2026-06-03,
REV-0148,EMP-1042,derek.mun@acme-analytics.example,terminated,APP-05,Saltmarsh CRM,member,theo.marchand@acme-analytics.example,revoke,2026-06-09,Terminated 2026-03-31; access not removed at offboarding (IT-2231). Deprovisioned during review.
REV-0149,EMP-1024,ophelia.jansen@acme-analytics.example,terminated,APP-11,Stoneferry CI,member,johan.brandt@acme-analytics.example,revoke,2026-06-06,Access not removed at offboarding; deprovisioned during review.
REV-0150,EMP-1032,wanda.rasmussen@acme-analytics.example,terminated,APP-11,Stoneferry CI,member,johan.brandt@acme-analytics.example,revoke,2026-06-13,Access not removed at offboarding; deprovisioned during review.
