campaign_id,sent_at,employee_id,email,action,time_to_action_minutes
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1055,mateo.pereira@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1056,viktor.gutierrez@acme-analytics.example,reported,77
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1057,oscar.ishikawa@acme-analytics.example,clicked,8
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1058,mateo.abara@acme-analytics.example,reported,98
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1061,mateo.ashby@acme-analytics.example,reported,91
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1062,uma.ibsen@acme-analytics.example,clicked,30
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1063,farah.grimaldi@acme-analytics.example,reported,90
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1064,ximena.zabel@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1066,emilio.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1067,rosa.ortega@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1068,rosa.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1070,viktor.pereira@acme-analytics.example,clicked,22
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1071,imani.sandoval@acme-analytics.example,clicked,14
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1072,esme.vasilenko@acme-analytics.example,clicked,28
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1073,aaron.moreau@acme-analytics.example,reported,27
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1074,greta.abara@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1075,wanda.falk@acme-analytics.example,clicked,15
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1077,anika.haas@acme-analytics.example,clicked,28
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1078,idris.jovergaard@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1079,zane.novak@acme-analytics.example,reported,97
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1080,tara.kovac@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1082,kai.zabel@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1083,greta.zielinski@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1084,pablo.ortega@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1085,jasper.haas@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1086,anika.dvorak@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1087,kira.thorne@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1088,kira.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1089,selim.varga@acme-analytics.example,reported,38
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1092,rania.eberhardt@acme-analytics.example,reported,89
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1093,cedric.halloran@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1094,selim.halloran@acme-analytics.example,clicked,20
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1095,idris.quist@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1096,zoe.ishikawa@acme-analytics.example,reported,92
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1097,thea.derevko@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1098,felipe.grimaldi@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1100,juno.wilder@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1101,cedric.rourke@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1102,viktor.varga@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1103,sven.yamada@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1105,cedric.moreau@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1108,mateo.varga@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1109,thea.yamada@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1110,lorenzo.ueno@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1111,zoe.gutierrez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1112,bruno.mistry@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1113,farah.abara@acme-analytics.example,reported,61
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1114,lorenzo.sandoval@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1116,mira.lindholm@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1117,liora.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1118,wanda.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1119,dahlia.tremblay@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1120,petra.xu@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1121,cedric.dvorak@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1122,sven.ashby@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1123,niko.derevko@acme-analytics.example,reported,34
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1125,ulric.quist@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1126,hana.engberg@acme-analytics.example,reported,40
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1127,cedric.thorne@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1128,nadine.nunez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1129,kai.wilder@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1130,niko.ishikawa@acme-analytics.example,reported,107
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1131,bruno.yoon@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1132,bruno.bellini@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1134,yara.ishikawa@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1136,emilio.thorne@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1137,juno.halloran@acme-analytics.example,reported,66
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1138,wanda.kovac@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1139,bianca.tremblay@acme-analytics.example,reported,18
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1140,nadine.ustinov@acme-analytics.example,clicked,1
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1001,renata.voss@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1002,grace.adeyemi@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1003,johan.brandt@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1004,maya.kaplan@acme-analytics.example,reported,82
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1005,diego.fuentes@acme-analytics.example,reported,90
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1006,sylvia.ngata@acme-analytics.example,reported,88
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1007,ravi.chandran@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1008,nora.vasquez@acme-analytics.example,reported,113
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1009,theo.marchand@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1010,priya.raghavan@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1011,marcus.webb@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1012,elena.sokolova@acme-analytics.example,reported,68
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1013,dana.kim@acme-analytics.example,reported,107
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1014,tom.alvarez@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1015,yuki.tanaka@acme-analytics.example,reported,109
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1016,sam.osei@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1017,ingrid.bauer@acme-analytics.example,reported,6
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1018,carlos.mendes@acme-analytics.example,reported,5
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1019,aisha.diallo@acme-analytics.example,reported,28
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1020,noah.lindqvist@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1021,fatima.alrashid@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1022,uma.tremblay@acme-analytics.example,reported,4
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1023,idris.oyelaran@acme-analytics.example,clicked,4
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1025,dahlia.castellano@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1026,jasper.ishikawa@acme-analytics.example,clicked,17
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1028,yusuf.mistry@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1029,viktor.lindholm@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1030,omar.haddad@acme-analytics.example,reported,37
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1031,lena.fischer@acme-analytics.example,clicked,25
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1033,imani.engberg@acme-analytics.example,reported,62
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1034,niko.xu@acme-analytics.example,clicked,18
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1036,celeste.zielinski@acme-analytics.example,reported,44
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1037,petra.wilder@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1038,liora.larsen@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1039,wesley.varga@acme-analytics.example,reported,112
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1040,cedric.ashby@acme-analytics.example,reported,114
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1043,selim.ibsen@acme-analytics.example,reported,7
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1045,zoe.xu@acme-analytics.example,reported,94
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1046,ulric.kovac@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1047,bruno.jovergaard@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1048,lorenzo.rourke@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1050,felipe.castellano@acme-analytics.example,reported,74
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1051,quentin.mistry@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1052,rania.ueno@acme-analytics.example,reported,37
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1054,ulric.jovergaard@acme-analytics.example,reported,51
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1055,mateo.pereira@acme-analytics.example,clicked,3
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1056,viktor.gutierrez@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1057,oscar.ishikawa@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1058,mateo.abara@acme-analytics.example,reported,35
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1060,hana.tremblay@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1061,mateo.ashby@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1062,uma.ibsen@acme-analytics.example,reported,56
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1063,farah.grimaldi@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1064,ximena.zabel@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1066,emilio.nunez@acme-analytics.example,clicked,15
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1067,rosa.ortega@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1068,rosa.nunez@acme-analytics.example,reported,115
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1070,viktor.pereira@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1071,imani.sandoval@acme-analytics.example,clicked,11
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1072,esme.vasilenko@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1073,aaron.moreau@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1074,greta.abara@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1075,wanda.falk@acme-analytics.example,clicked,3
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1077,anika.haas@acme-analytics.example,reported,53
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1078,idris.jovergaard@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1079,zane.novak@acme-analytics.example,reported,4
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1080,tara.kovac@acme-analytics.example,reported,83
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1081,ophelia.eberhardt@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1082,kai.zabel@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1083,greta.zielinski@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1084,pablo.ortega@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1085,jasper.haas@acme-analytics.example,reported,16
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1086,anika.dvorak@acme-analytics.example,reported,113
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1087,kira.thorne@acme-analytics.example,reported,73
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1088,kira.nunez@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1089,selim.varga@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1092,rania.eberhardt@acme-analytics.example,reported,73
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1093,cedric.halloran@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1094,selim.halloran@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1095,idris.quist@acme-analytics.example,reported,88
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1096,zoe.ishikawa@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1097,thea.derevko@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1098,felipe.grimaldi@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1100,juno.wilder@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1101,cedric.rourke@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1102,viktor.varga@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1103,sven.yamada@acme-analytics.example,reported,99
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1105,cedric.moreau@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1107,talia.reyes@acme-analytics.example,reported,110
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1108,mateo.varga@acme-analytics.example,reported,51
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1109,thea.yamada@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1110,lorenzo.ueno@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1111,zoe.gutierrez@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1112,bruno.mistry@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1113,farah.abara@acme-analytics.example,reported,34
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1114,lorenzo.sandoval@acme-analytics.example,clicked,3
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1116,mira.lindholm@acme-analytics.example,reported,29
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1117,liora.nunez@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1118,wanda.nunez@acme-analytics.example,reported,84
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1119,dahlia.tremblay@acme-analytics.example,reported,117
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1120,petra.xu@acme-analytics.example,reported,12
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1121,cedric.dvorak@acme-analytics.example,reported,69
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1122,sven.ashby@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1123,niko.derevko@acme-analytics.example,reported,96
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1125,ulric.quist@acme-analytics.example,reported,65
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1126,hana.engberg@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1127,cedric.thorne@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1128,nadine.nunez@acme-analytics.example,reported,110
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1129,kai.wilder@acme-analytics.example,reported,24
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1130,niko.ishikawa@acme-analytics.example,reported,45
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1131,bruno.yoon@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1132,bruno.bellini@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1134,yara.ishikawa@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1136,emilio.thorne@acme-analytics.example,clicked,9
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1137,juno.halloran@acme-analytics.example,reported,111
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1138,wanda.kovac@acme-analytics.example,clicked,11
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1139,bianca.tremblay@acme-analytics.example,ignored,
PHSIM-2026-06,2026-06-16T14:00:00Z,EMP-1140,nadine.ustinov@acme-analytics.example,reported,75
